,,Calc_Instant_Hum_1m,,Calc_Instant_Hum_1m,,Calc_Instant_Hum_1m,,Calc_Instant_Lluvia_1m,,Calc_Instant_Temp_1m,,Calc_Instant_Temp_1m,,Calc_Instant_Temp_1m,,Calc_Instant_PBaro1_1m,,Calc_Instant_PBaro1_1m,,Calc_Instant_PBaro1_1m,
time,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,
12/12/16 12:00:07 AM,VALID,98.266,VALID,98.314,VALID,98.204,VALID,0.0,VALID,5.462,VALID,5.473,VALID,5.451,VALID,647.447,VALID,647.459,VALID,647.437,
12/12/16 12:01:06 AM,VALID,98.266,VALID,98.277,VALID,98.244,VALID,0.0,VALID,5.465,VALID,5.481,VALID,5.44,VALID,647.464,VALID,647.475,VALID,647.459,
12/12/16 12:02:06 AM,VALID,98.251,VALID,98.27,VALID,98.239,VALID,0.0,VALID,5.434,VALID,5.444,VALID,5.423,VALID,647.457,VALID,647.476,VALID,647.427,
12/12/16 12:03:06 AM,VALID,98.282,VALID,98.304,VALID,98.237,VALID,0.0,VALID,5.5,VALID,5.512,VALID,5.485,VALID,647.458,VALID,647.47,VALID,647.449,
12/12/16 12:04:06 AM,VALID,98.31,VALID,98.345,VALID,98.271,VALID,0.0,VALID,5.474,VALID,5.51,VALID,5.416,VALID,647.477,VALID,647.485,VALID,647.462,
12/12/16 12:05:06 AM,VALID,98.185,VALID,98.204,VALID,98.174,VALID,0.0,VALID,5.337,VALID,5.371,VALID,5.313,VALID,647.483,VALID,647.497,VALID,647.469,
12/12/16 12:06:06 AM,VALID,98.198,VALID,98.211,VALID,98.174,VALID,0.0,VALID,5.316,VALID,5.319,VALID,5.313,VALID,647.471,VALID,647.489,VALID,647.459,
12/12/16 12:07:06 AM,VALID,98.249,VALID,98.278,VALID,98.234,VALID,0.0,VALID,5.338,VALID,5.348,VALID,5.331,VALID,647.498,VALID,647.499,VALID,647.497,
12/12/16 12:08:06 AM,VALID,98.286,VALID,98.304,VALID,98.275,VALID,0.0,VALID,5.381,VALID,5.396,VALID,5.361,VALID,647.518,VALID,647.524,VALID,647.509,
12/12/16 12:09:06 AM,VALID,98.318,VALID,98.338,VALID,98.304,VALID,0.0,VALID,5.442,VALID,5.45,VALID,5.437,VALID,647.534,VALID,647.565,VALID,647.513,
12/12/16 12:10:06 AM,VALID,98.323,VALID,98.378,VALID,98.277,VALID,0.0,VALID,5.401,VALID,5.43,VALID,5.377,VALID,647.546,VALID,647.561,VALID,647.526,
12/12/16 12:11:06 AM,VALID,98.248,VALID,98.27,VALID,98.237,VALID,0.0,VALID,5.354,VALID,5.376,VALID,5.333,VALID,647.549,VALID,647.554,VALID,647.542,
12/12/16 12:12:06 AM,VALID,98.249,VALID,98.27,VALID,98.238,VALID,0.0,VALID,5.295,VALID,5.307,VALID,5.288,VALID,647.554,VALID,647.564,VALID,647.549,
12/12/16 12:13:06 AM,VALID,98.239,VALID,98.27,VALID,98.21,VALID,0.0,VALID,5.239,VALID,5.267,VALID,5.213,VALID,647.557,VALID,647.564,VALID,647.55,
12/12/16 12:14:06 AM,VALID,98.242,VALID,98.278,VALID,98.205,VALID,0.0,VALID,5.232,VALID,5.247,VALID,5.219,VALID,647.579,VALID,647.593,VALID,647.566,
12/12/16 12:15:06 AM,VALID,98.241,VALID,98.275,VALID,98.208,VALID,0.0,VALID,5.195,VALID,5.22,VALID,5.179,VALID,647.582,VALID,647.603,VALID,647.559,
12/12/16 12:16:06 AM,VALID,98.238,VALID,98.276,VALID,98.205,VALID,0.0,VALID,5.206,VALID,5.227,VALID,5.177,VALID,647.628,VALID,647.641,VALID,647.602,
12/12/16 12:17:06 AM,VALID,98.288,VALID,98.314,VALID,98.272,VALID,0.0,VALID,5.212,VALID,5.22,VALID,5.198,VALID,647.654,VALID,647.666,VALID,647.648,
12/12/16 12:18:06 AM,VALID,98.25,VALID,98.275,VALID,98.234,VALID,0.0,VALID,5.236,VALID,5.253,VALID,5.216,VALID,647.663,VALID,647.672,VALID,647.658,
12/12/16 12:19:06 AM,VALID,98.298,VALID,98.313,VALID,98.27,VALID,0.0,VALID,5.292,VALID,5.306,VALID,5.271,VALID,647.68,VALID,647.693,VALID,647.655,
12/12/16 12:20:06 AM,VALID,98.332,VALID,98.345,VALID,98.315,VALID,0.0,VALID,5.273,VALID,5.315,VALID,5.224,VALID,647.686,VALID,647.696,VALID,647.68,
12/12/16 12:21:06 AM,VALID,98.239,VALID,98.242,VALID,98.238,VALID,0.0,VALID,5.184,VALID,5.197,VALID,5.174,VALID,647.697,VALID,647.725,VALID,647.672,
12/12/16 12:22:06 AM,VALID,98.229,VALID,98.241,VALID,98.206,VALID,0.0,VALID,5.182,VALID,5.194,VALID,5.171,VALID,647.705,VALID,647.733,VALID,647.682,
12/12/16 12:23:06 AM,VALID,98.267,VALID,98.28,VALID,98.243,VALID,0.0,VALID,5.213,VALID,5.225,VALID,5.2,VALID,647.733,VALID,647.754,VALID,647.718,
12/12/16 12:24:06 AM,VALID,98.241,VALID,98.244,VALID,98.238,VALID,0.0,VALID,5.17,VALID,5.181,VALID,5.162,VALID,647.768,VALID,647.781,VALID,647.75,
12/12/16 12:25:06 AM,VALID,98.206,VALID,98.208,VALID,98.204,VALID,0.0,VALID,5.15,VALID,5.153,VALID,5.146,VALID,647.792,VALID,647.797,VALID,647.784,
12/12/16 12:26:06 AM,VALID,98.241,VALID,98.243,VALID,98.238,VALID,0.0,VALID,5.139,VALID,5.152,VALID,5.129,VALID,647.813,VALID,647.832,VALID,647.8,
12/12/16 12:27:06 AM,VALID,98.241,VALID,98.243,VALID,98.237,VALID,0.0,VALID,5.147,VALID,5.152,VALID,5.144,VALID,647.814,VALID,647.818,VALID,647.811,
