"Título de trazado: M5023"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C","Event, mm","Acoplador separado","Acoplador adjunto","Host conectado","Parado","Final de archivo"
1,01/23/2018 09:37:41 AM,16.903,0.0,,,,,
2,01/23/2018 09:40:08 AM,,,Registrado,,,,
3,01/23/2018 09:42:11 AM,,0.1,,,,,
4,01/23/2018 09:52:41 AM,12.110,,,,,,
5,01/23/2018 10:07:41 AM,11.722,,,,,,
6,01/23/2018 10:22:41 AM,11.334,,,,,,
7,01/23/2018 10:37:41 AM,11.528,,,,,,
8,01/23/2018 10:52:41 AM,11.819,,,,,,
9,01/23/2018 11:07:41 AM,11.334,,,,,,
10,01/23/2018 11:22:41 AM,11.334,,,,,,
11,01/23/2018 11:37:41 AM,11.236,,,,,,
12,01/23/2018 11:52:41 AM,11.431,,,,,,
13,01/23/2018 12:07:41 PM,11.916,,,,,,
14,01/23/2018 12:22:41 PM,12.304,,,,,,
15,01/23/2018 12:37:41 PM,13.173,,,,,,
16,01/23/2018 12:43:53 PM,,0.2,,,,,
17,01/23/2018 12:51:57 PM,,0.3,,,,,
18,01/23/2018 12:52:41 PM,14.038,,,,,,
19,01/23/2018 01:05:38 PM,,0.4,,,,,
20,01/23/2018 01:07:41 PM,12.883,,,,,,
21,01/23/2018 01:22:41 PM,12.883,,,,,,
22,01/23/2018 01:37:41 PM,12.980,,,,,,
23,01/23/2018 01:52:41 PM,13.558,,,,,,
24,01/23/2018 02:07:41 PM,13.076,,,,,,
25,01/23/2018 02:15:18 PM,,0.5,,,,,
26,01/23/2018 02:22:41 PM,12.883,,,,,,
27,01/23/2018 02:35:09 PM,,0.6,,,,,
28,01/23/2018 02:37:41 PM,13.558,,,,,,
29,01/23/2018 02:52:41 PM,13.846,,,,,,
30,01/23/2018 03:07:41 PM,13.846,,,,,,
31,01/23/2018 03:22:41 PM,12.594,,,,,,
32,01/23/2018 03:37:41 PM,12.690,,,,,,
33,01/23/2018 03:52:41 PM,12.401,,,,,,
34,01/23/2018 04:07:41 PM,12.497,,,,,,
35,01/23/2018 04:22:41 PM,12.883,,,,,,
36,01/23/2018 04:37:41 PM,14.804,,,,,,
37,01/23/2018 04:52:41 PM,14.804,,,,,,
38,01/23/2018 05:07:41 PM,13.269,,,,,,
39,01/23/2018 05:22:41 PM,11.528,,,,,,
40,01/23/2018 05:37:41 PM,10.748,,,,,,
41,01/23/2018 05:52:41 PM,10.259,,,,,,
42,01/23/2018 06:07:41 PM,9.768,,,,,,
43,01/23/2018 06:22:41 PM,9.472,,,,,,
44,01/23/2018 06:37:41 PM,9.176,,,,,,
45,01/23/2018 06:52:41 PM,8.978,,,,,,
46,01/23/2018 07:07:41 PM,8.779,,,,,,
47,01/23/2018 07:22:41 PM,8.680,,,,,,
48,01/23/2018 07:37:41 PM,8.481,,,,,,
49,01/23/2018 07:52:41 PM,8.382,,,,,,
50,01/23/2018 08:07:41 PM,8.282,,,,,,
51,01/23/2018 08:22:41 PM,8.182,,,,,,
52,01/23/2018 08:37:41 PM,8.182,,,,,,
53,01/23/2018 08:52:41 PM,8.182,,,,,,
54,01/23/2018 09:07:41 PM,8.082,,,,,,
55,01/23/2018 09:22:41 PM,7.983,,,,,,
56,01/23/2018 09:37:41 PM,7.882,,,,,,
57,01/23/2018 09:52:41 PM,7.882,,,,,,
58,01/23/2018 10:07:41 PM,7.782,,,,,,
59,01/23/2018 10:22:41 PM,7.782,,,,,,
60,01/23/2018 10:37:41 PM,7.682,,,,,,
61,01/23/2018 10:52:41 PM,7.682,,,,,,
62,01/23/2018 11:07:41 PM,7.782,,,,,,
63,01/23/2018 11:22:41 PM,7.682,,,,,,
64,01/23/2018 11:37:41 PM,7.582,,,,,,
65,01/23/2018 11:52:41 PM,7.481,,,,,,
66,01/24/2018 12:07:41 AM,7.582,,,,,,
67,01/24/2018 12:22:41 AM,7.582,,,,,,
68,01/24/2018 12:37:41 AM,7.582,,,,,,
69,01/24/2018 12:52:41 AM,7.582,,,,,,
70,01/24/2018 01:07:41 AM,7.582,,,,,,
71,01/24/2018 01:22:41 AM,7.481,,,,,,
72,01/24/2018 01:37:41 AM,7.582,,,,,,
