Date Time Precipitaciòn
28/02/18 11:45:55 0 Start
28/02/18 11:46:41 0.1
01/03/18 17:16:13 0.2
01/03/18 17:17:12 0.3
01/03/18 17:17:41 0.4
01/03/18 17:18:21 0.5
01/03/18 17:18:56 0.6
01/03/18 17:19:27 0.7
01/03/18 17:19:48 0.8
01/03/18 17:20:16 0.9
01/03/18 17:20:42 1
01/03/18 17:21:25 1.1
01/03/18 17:22:18 1.2
01/03/18 17:24:11 1.3
01/03/18 17:25:36 1.4
01/03/18 17:26:58 1.5
01/03/18 17:28:01 1.6
01/03/18 17:29:15 1.7
01/03/18 17:30:51 1.8
01/03/18 17:33:02 1.9
01/03/18 17:38:05 2
01/03/18 21:03:47 2.1
02/03/18 01:36:18 2.2
02/03/18 03:52:41 2.3
02/03/18 03:53:48 2.4
02/03/18 03:55:08 2.5
02/03/18 03:56:05 2.6
02/03/18 03:57:51 2.7
02/03/18 03:58:12 2.8
02/03/18 03:58:37 2.9
02/03/18 03:59:04 3
02/03/18 03:59:35 3.1
02/03/18 03:59:57 3.2
02/03/18 04:00:37 3.3
02/03/18 04:01:01 3.4
02/03/18 04:01:37 3.5
02/03/18 04:02:08 3.6
02/03/18 04:03:00 3.7
02/03/18 04:04:12 3.8
02/03/18 04:05:11 3.9
02/03/18 04:05:46 4
02/03/18 04:06:42 4.1
02/03/18 04:07:56 4.2
02/03/18 04:17:22 4.3
02/03/18 04:29:00 4.4
02/03/18 04:46:28 4.5
02/03/18 04:48:34 4.6
02/03/18 04:51:06 4.7
02/03/18 04:53:34 4.8
02/03/18 04:56:44 4.9
02/03/18 05:00:56 5
02/03/18 05:05:07 5.1
02/03/18 05:07:45 5.2
02/03/18 05:11:33 5.3
02/03/18 05:13:56 5.4
02/03/18 05:15:31 5.5
02/03/18 05:16:22 5.6
02/03/18 05:17:47 5.7
02/03/18 05:19:11 5.8
02/03/18 05:22:17 5.9
02/03/18 05:31:51 6
02/03/18 05:49:38 6.1
02/03/18 05:55:34 6.2
02/03/18 06:01:01 6.3
02/03/18 06:04:46 6.4
02/03/18 06:11:06 6.5
02/03/18 06:18:49 6.6
02/03/18 06:27:51 6.7
02/03/18 06:30:53 6.8
02/03/18 06:37:43 6.9
02/03/18 06:50:17 7
02/03/18 06:54:33 7.1
02/03/18 07:00:55 7.2
02/03/18 12:47:06 7.3
04/03/18 20:38:33 7.4
18/03/18 02:32:59 7.5
18/03/18 03:17:40 7.6
18/03/18 03:27:35 7.7
18/03/18 03:30:22 7.8
18/03/18 03:32:48 7.9
18/03/18 03:35:50 8
18/03/18 03:47:07 8.1
18/03/18 03:58:34 8.2
18/03/18 04:10:38 8.3
18/03/18 04:47:38 8.4
18/03/18 06:38:50 8.5
19/03/18 01:12:50 8.6
19/03/18 01:18:10 8.7
19/03/18 01:22:32 8.8
19/03/18 01:28:24 8.9
19/03/18 01:34:32 9
19/03/18 01:42:40 9.1
19/03/18 01:47:49 9.2
19/03/18 01:53:32 9.3
19/03/18 01:55:45 9.4
19/03/18 01:57:48 9.5
19/03/18 01:59:13 9.6
19/03/18 02:03:21 9.7
19/03/18 02:08:03 9.8
19/03/18 02:10:25 9.9
19/03/18 02:11:46 10
19/03/18 02:13:00 10.1
19/03/18 02:13:49 10.2
19/03/18 02:15:16 10.3
19/03/18 02:18:18 10.4
19/03/18 02:23:50 10.5
19/03/18 02:35:59 10.6
19/03/18 02:53:38 10.7
19/03/18 03:03:41 10.8
19/03/18 03:09:45 10.9
19/03/18 03:13:21 11
19/03/18 03:17:49 11.1
19/03/18 03:22:01 11.2
19/03/18 03:31:40 11.3
19/03/18 04:02:04 11.4
19/03/18 04:17:03 11.5
19/03/18 04:26:27 11.6
19/03/18 05:28:45 11.7
19/03/18 05:29:31 11.8
19/03/18 05:30:15 11.9
19/03/18 05:30:31 12
19/03/18 05:30:49 12.1
19/03/18 05:31:03 12.2
19/03/18 05:31:19 12.3
19/03/18 05:31:37 12.4
19/03/18 05:31:55 12.5
19/03/18 05:32:08 12.6
19/03/18 05:32:25 12.7
19/03/18 05:32:35 12.8
19/03/18 05:32:50 12.9
19/03/18 05:33:01 13
19/03/18 05:33:13 13.1
19/03/18 05:33:21 13.2
19/03/18 05:33:33 13.3
