,,Calc_Stat_TA_5m,,Calc_Stat_TA_5m,,Calc_Stat_TA_5m,,Calc_Stat_RH_5m,,Calc_Stat_RH_5m,,Calc_Stat_RH_5m,,Calc_Stat_PA_5m,,Calc_Stat_PA_5m,,Calc_Stat_PA_5m,,Calc_Sum_PR_5m,,Calc_Stat_SR_5m,,Calc_Stat_SR_5m,,Calc_Stat_SR_5m,,Calc_Sum_SR_5m,,Calc_Stat_Wind_5m,,Calc_Stat_Wind_5m,,Calc_Stat_Wind_5m,,Calc_Stat_Wind_5m,,Calc_Stat_Wind_5m,,Calc_Stat_Wind_5m,,Calc_Stat_Wind_5m,,Calc_Stat_Wind_5m,,Charger
date,time,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,status,Sum,status,DirAvg,status,DirMax,status,DirMin,status,GustDir,status,SpdAvg,status,SpdMax,status,SpdMin,status,WRun,status,External_DC
2/22/18,12:00:06 AM,3.686,VALID,3.764,VALID,3.568,VALID,98.574,VALID,98.723,VALID,98.122,VALID,642.053,VALID,642.082,VALID,642.026,VALID,0,VALID,0.003,VALID,0.029,VALID,0,VALID,0.794,VALID,326,VALID,12,VALID,295,VALID,301,VALID,1.125,VALID,2.102,VALID,0.602,VALID,1.435,VALID,12.894
2/22/18,12:05:06 AM,3.688,VALID,3.774,VALID,3.56,VALID,98.038,VALID,98.271,VALID,97.587,VALID,642.032,VALID,642.051,VALID,641.995,VALID,0,VALID,0.001,VALID,0.023,VALID,0,VALID,0.259,VALID,300,VALID,333,VALID,282,VALID,296,VALID,1.039,VALID,1.602,VALID,0.602,VALID,1.275,VALID,12.89
2/22/18,12:10:06 AM,3.801,VALID,3.849,VALID,3.702,VALID,97.862,VALID,98.138,VALID,97.565,VALID,641.965,VALID,642.018,VALID,641.924,VALID,0,VALID,0,VALID,0.023,VALID,0,VALID,0.094,VALID,260,VALID,309,VALID,173,VALID,264,VALID,0.5,VALID,1,VALID,0,VALID,0.702,VALID,12.891
2/22/18,12:15:06 AM,3.908,VALID,3.967,VALID,3.845,VALID,98.238,VALID,98.4,VALID,98.122,VALID,641.899,VALID,641.952,VALID,641.852,VALID,0,VALID,0.001,VALID,0.025,VALID,0,VALID,0.377,VALID,340,VALID,61,VALID,252,VALID,255,VALID,0.375,VALID,1.102,VALID,0,VALID,0.779,VALID,12.893
2/22/18,12:20:06 AM,3.92,VALID,3.947,VALID,3.907,VALID,98.201,VALID,98.269,VALID,98.155,VALID,641.846,VALID,641.88,VALID,641.816,VALID,0,VALID,0.011,VALID,0.038,VALID,0,VALID,3.182,VALID,16,VALID,119,VALID,237,VALID,40,VALID,0.141,VALID,0.898,VALID,0,VALID,0.449,VALID,12.888
2/22/18,12:25:06 AM,4.089,VALID,4.178,VALID,3.937,VALID,98.318,VALID,98.457,VALID,98.124,VALID,641.811,VALID,641.854,VALID,641.755,VALID,0,VALID,0.011,VALID,0.044,VALID,0,VALID,3.182,VALID,236,VALID,283,VALID,207,VALID,237,VALID,1.047,VALID,1.602,VALID,0.398,VALID,1.299,VALID,12.886
2/22/18,12:30:06 AM,4.14,VALID,4.225,VALID,4.102,VALID,98.089,VALID,98.21,VALID,98.053,VALID,641.745,VALID,641.768,VALID,641.722,VALID,0,VALID,0.009,VALID,0.036,VALID,0,VALID,2.566,VALID,232,VALID,253,VALID,206,VALID,233,VALID,1.219,VALID,1.703,VALID,0.797,VALID,1.485,VALID,12.886
2/22/18,12:35:06 AM,4.297,VALID,4.42,VALID,4.215,VALID,98.029,VALID,98.205,VALID,97.925,VALID,641.725,VALID,641.764,VALID,641.66,VALID,0,VALID,0.002,VALID,0.025,VALID,0,VALID,0.616,VALID,244,VALID,298,VALID,199,VALID,228,VALID,1.164,VALID,2.602,VALID,0.5,VALID,1.47,VALID,12.887
2/22/18,12:40:06 AM,4.454,VALID,4.483,VALID,4.425,VALID,97.732,VALID,97.998,VALID,97.376,VALID,641.582,VALID,641.685,VALID,641.525,VALID,0,VALID,0.003,VALID,0.024,VALID,0,VALID,0.799,VALID,217,VALID,311,VALID,178,VALID,215,VALID,0.797,VALID,1.5,VALID,0,VALID,1.008,VALID,12.887
2/22/18,12:45:06 AM,4.248,VALID,4.438,VALID,4.072,VALID,96.594,VALID,97.343,VALID,96.235,VALID,641.473,VALID,641.549,VALID,641.418,VALID,0,VALID,0.006,VALID,0.031,VALID,0,VALID,1.922,VALID,352,VALID,35,VALID,38,VALID,6,VALID,0.633,VALID,1.102,VALID,0,VALID,0.861,VALID,12.885
2/22/18,12:50:06 AM,3.856,VALID,4.075,VALID,3.658,VALID,96.142,VALID,96.584,VALID,95.554,VALID,641.452,VALID,641.471,VALID,641.431,VALID,0,VALID,0.009,VALID,0.043,VALID,0,VALID,2.652,VALID,305,VALID,340,VALID,276,VALID,307,VALID,1.555,VALID,2.398,VALID,0.797,VALID,1.889,VALID,12.883
2/22/18,12:55:06 AM,3.685,VALID,3.757,VALID,3.586,VALID,95.677,VALID,96.433,VALID,95.23,VALID,641.385,VALID,641.472,VALID,641.29,VALID,0,VALID,0.01,VALID,0.04,VALID,0,VALID,2.933,VALID,320,VALID,346,VALID,302,VALID,308,VALID,1.992,VALID,2.5,VALID,1.398,VALID,2.428,VALID,12.882
2/22/18,1:00:06 AM,3.708,VALID,3.771,VALID,3.64,VALID,95.314,VALID,95.726,VALID,94.756,VALID,641.352,VALID,641.386,VALID,641.311,VALID,0,VALID,0.008,VALID,0.041,VALID,0,VALID,2.314,VALID,312,VALID,335,VALID,290,VALID,306,VALID,2.508,VALID,3.602,VALID,1.703,VALID,3.045,VALID,12.881
2/22/18,1:05:06 AM,4.013,VALID,4.294,VALID,3.768,VALID,93.876,VALID,94.72,VALID,92.724,VALID,641.31,VALID,641.367,VALID,641.273,VALID,0,VALID,0.004,VALID,0.034,VALID,0,VALID,1.255,VALID,313,VALID,328,VALID,298,VALID,306,VALID,2.141,VALID,3.102,VALID,1.398,VALID,2.575,VALID,12.88
2/22/18,1:10:06 AM,4.385,VALID,4.8,VALID,4.18,VALID,92.249,VALID,92.878,VALID,91.686,VALID,641.322,VALID,641.372,VALID,641.273,VALID,0,VALID,0.001,VALID,0.023,VALID,0,VALID,0.332,VALID,286,VALID,329,VALID,241,VALID,300,VALID,1.672,VALID,2.398,VALID,0.898,VALID,2.098,VALID,12.878
2/22/18,1:15:06 AM,5.017,VALID,5.126,VALID,4.815,VALID,90.221,VALID,91.67,VALID,89.667,VALID,641.345,VALID,641.372,VALID,641.282,VALID,0,VALID,0.006,VALID,0.041,VALID,0,VALID,1.739,VALID,241,VALID,281,VALID,215,VALID,250,VALID,1.758,VALID,3,VALID,1,VALID,2.156,VALID,12.879
2/22/18,1:20:06 AM,5.037,VALID,5.186,VALID,4.873,VALID,91.657,VALID,94.19,VALID,89.802,VALID,641.176,VALID,641.287,VALID,641.115,VALID,0,VALID,0.004,VALID,0.03,VALID,0,VALID,1.196,VALID,209,VALID,38,VALID,85,VALID,162,VALID,0.891,VALID,2.797,VALID,0,VALID,1.409,VALID,12.879
2/22/18,1:25:06 AM,4.741,VALID,4.876,VALID,4.55,VALID,93.9,VALID,94.531,VALID,92.792,VALID,641.084,VALID,641.143,VALID,641.019,VALID,0,VALID,0.004,VALID,0.034,VALID,0,VALID,1.15,VALID,102,VALID,27,VALID,38,VALID,83,VALID,0.562,VALID,2.102,VALID,0,VALID,1.086,VALID,12.879
2/22/18,1:30:06 AM,4.434,VALID,4.543,VALID,4.345,VALID,93.789,VALID,94.24,VALID,93.197,VALID,640.973,VALID,641.04,VALID,640.878,VALID,0,VALID,0.002,VALID,0.023,VALID,0,VALID,0.702,VALID,246,VALID,279,VALID,282,VALID,199,VALID,0.344,VALID,1.398,VALID,0,VALID,0.804,VALID,12.875
2/22/18,1:35:06 AM,4.046,VALID,4.332,VALID,3.653,VALID,92.805,VALID,94.059,VALID,91.75,VALID,640.884,VALID,640.926,VALID,640.847,VALID,0,VALID,0.007,VALID,0.034,VALID,0,VALID,1.968,VALID,283,VALID,321,VALID,237,VALID,293,VALID,0.969,VALID,2.102,VALID,0.398,VALID,1.104,VALID,12.874
2/22/18,1:40:06 AM,3.546,VALID,3.918,VALID,3.364,VALID,93.298,VALID,94.915,VALID,91.424,VALID,640.93,VALID,640.96,VALID,640.893,VALID,0,VALID,0.007,VALID,0.041,VALID,0,VALID,2.117,VALID,295,VALID,318,VALID,249,VALID,296,VALID,2.133,VALID,2.898,VALID,1.203,VALID,2.625,VALID,12.87
2/22/18,1:45:06 AM,3.759,VALID,4.026,VALID,3.508,VALID,92.008,VALID,94.449,VALID,90.723,VALID,640.926,VALID,640.957,VALID,640.897,VALID,0,VALID,0.007,VALID,0.04,VALID,0,VALID,2.042,VALID,309,VALID,330,VALID,263,VALID,309,VALID,2.234,VALID,3.203,VALID,1.203,VALID,2.748,VALID,12.868
2/22/18,1:50:06 AM,3.249,VALID,3.561,VALID,2.857,VALID,90.807,VALID,92.172,VALID,88.644,VALID,640.876,VALID,640.917,VALID,640.841,VALID,0,VALID,0.006,VALID,0.044,VALID,0,VALID,1.94,VALID,315,VALID,356,VALID,295,VALID,310,VALID,1.773,VALID,2.797,VALID,1,VALID,2.175,VALID,12.868
2/22/18,1:55:06 AM,2.632,VALID,3.189,VALID,2.324,VALID,93.433,VALID,97.287,VALID,90.611,VALID,640.904,VALID,640.937,VALID,640.838,VALID,0,VALID,0.008,VALID,0.037,VALID,0,VALID,2.309,VALID,285,VALID,310,VALID,230,VALID,301,VALID,1.992,VALID,3.203,VALID,0.602,VALID,2.545,VALID,12.867
2/22/18,2:00:06 AM,3.564,VALID,3.733,VALID,3.2,VALID,95.449,VALID,97.286,VALID,94.203,VALID,640.755,VALID,640.841,VALID,640.71,VALID,0,VALID,0.014,VALID,0.056,VALID,0,VALID,4.082,VALID,227,VALID,283,VALID,191,VALID,245,VALID,0.844,VALID,1.703,VALID,0.297,VALID,1.054,VALID,12.867
2/22/18,2:05:06 AM,3.637,VALID,3.706,VALID,3.508,VALID,93.809,VALID,94.453,VALID,92.888,VALID,640.823,VALID,640.863,VALID,640.75,VALID,0,VALID,0.01,VALID,0.031,VALID,0,VALID,3.069,VALID,235,VALID,23,VALID,194,VALID,236,VALID,0.641,VALID,1.398,VALID,0,VALID,0.857,VALID,12.863
2/22/18,2:10:06 AM,3.156,VALID,3.499,VALID,2.82,VALID,92.306,VALID,92.999,VALID,91.195,VALID,640.831,VALID,640.864,VALID,640.777,VALID,0,VALID,0.009,VALID,0.044,VALID,0,VALID,2.565,VALID,55,VALID,54,VALID,56,VALID,79,VALID,1.047,VALID,1.703,VALID,0.297,VALID,1.321,VALID,12.866
2/22/18,2:15:06 AM,2.559,VALID,2.81,VALID,2.445,VALID,93.608,VALID,95.319,VALID,91.13,VALID,640.74,VALID,640.788,VALID,640.661,VALID,0,VALID,0.011,VALID,0.038,VALID,0,VALID,3.338,VALID,20,VALID,78,VALID,359,VALID,18,VALID,0.953,VALID,1.797,VALID,0,VALID,1.181,VALID,12.864
2/22/18,2:20:06 AM,2.507,VALID,2.569,VALID,2.44,VALID,96.411,VALID,96.933,VALID,95.359,VALID,640.602,VALID,640.675,VALID,640.539,VALID,0,VALID,0.011,VALID,0.054,VALID,0,VALID,3.203,VALID,257,VALID,359,VALID,205,VALID,270,VALID,0.469,VALID,1.297,VALID,0,VALID,0.59,VALID,12.86
2/22/18,2:25:06 AM,2.702,VALID,2.806,VALID,2.56,VALID,96.7,VALID,97.451,VALID,95.229,VALID,640.578,VALID,640.612,VALID,640.527,VALID,0,VALID,0.015,VALID,0.055,VALID,0,VALID,4.46,VALID,235,VALID,289,VALID,206,VALID,229,VALID,1.117,VALID,1.797,VALID,0.398,VALID,1.387,VALID,12.857
2/22/18,2:30:06 AM,2.475,VALID,2.65,VALID,2.412,VALID,95.355,VALID,96.559,VALID,94.635,VALID,640.603,VALID,640.634,VALID,640.567,VALID,0,VALID,0.004,VALID,0.036,VALID,0,VALID,1.157,VALID,227,VALID,288,VALID,198,VALID,227,VALID,1.305,VALID,2.398,VALID,0.602,VALID,1.649,VALID,12.856
2/22/18,2:35:06 AM,2.36,VALID,2.445,VALID,2.284,VALID,96.371,VALID,97.128,VALID,95.876,VALID,640.639,VALID,640.657,VALID,640.612,VALID,0,VALID,0.012,VALID,0.042,VALID,0,VALID,3.715,VALID,275,VALID,20,VALID,116,VALID,234,VALID,0.734,VALID,2.398,VALID,0,VALID,1.083,VALID,12.852
2/22/18,2:40:06 AM,2.503,VALID,2.615,VALID,2.408,VALID,96.212,VALID,97.112,VALID,95.682,VALID,640.593,VALID,640.643,VALID,640.518,VALID,0,VALID,0.019,VALID,0.045,VALID,0,VALID,5.643,VALID,302,VALID,309,VALID,285,VALID,306,VALID,2.227,VALID,3.297,VALID,1.203,VALID,2.686,VALID,12.849
